knot_id,title,lifecycle_phase,obligation_source,status,owner,created_date,description,clause_refs,knu_refs,compliance_status,notes
KNOT-AAMUAM-LC02-0007,Energy reserves — 20 min VFR hold plus diversion,LC02,SC-VTOL + CS-VFR,APPROVED,ASIT,2026-03-19,Vehicle must carry energy reserves sufficient for 20-minute VFR holding pattern plus diversion to an alternate vertiport or landing site,SC-VTOL Energy Reserves,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0008,Dispatch target — 10 flights per vehicle per day,LC02,Business case,APPROVED,ASIT,2026-03-19,Operational target of minimum 10 revenue flights per vehicle per calendar day assuming 5–10 min turnaround at vertiport,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0009,Weather minima VFR-IFR with SC-VTOL Cat 1a maturity path,LC02,SC-VTOL § 6,APPROVED,ASIT,2026-03-19,Initial operations under VFR minima evolving to IFR capability with SC-VTOL Cat 1a precision approach as fleet matures,SC-VTOL § 6,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0010,Vertiport infrastructure footprint ≥1.5D FATO pad,LC02,EASA Vertiport Design Guidelines,APPROVED,ASIT,2026-03-19,Vertiport FATO must have minimum diameter of 1.5 × D where D equals 10 times the outer rotor envelope of the vehicle,EASA Vertiport § 4.2,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC03-0001,Distributed electric propulsion architecture ATA 61+71,LC03,ARP4754A + SC-VTOL,APPROVED,ASIT,2026-03-19,N motor-propulsor units on DC bus with motor-out certification logic; 4–18 rotor configurations with optional tilt capability; shared tech node with AMPEL360 Q100 BWB,ARP4754A § 5; SC-VTOL § 4,,NOT_STARTED,Spillover to KNOT-Q100BWB-LC03-0001; A=0.50
KNOT-AAMUAM-LC03-0002,Power management and peak buffering ATA 24,LC03,ARP4754A + SC-VTOL,APPROVED,ASIT,2026-03-19,FC primary or battery-dominant primary power with battery buffer for transient loads; power management unit architected for fault tolerance,ARP4754A § 5; SC-VTOL ATA 24,,NOT_STARTED,Spillover to KNOT-Q100BWB-LC03-0002; A=0.50
KNOT-AAMUAM-LC03-0003,Battery thermal management and DPP ATA 24+96,LC03,EU Battery Regulation 2023/1542 + SC-VTOL,APPROVED,ASIT,2026-03-19,Thermal runaway containment; SoH tracking with degradation model; Digital Product Passport per EU Battery Regulation; shared tech node,EU Battery Reg 2023/1542; SC-VTOL § 4.3,,NOT_STARTED,Spillover to KNOT-Q100BWB-LC03-0003; A=0.50; key bidirectional node
KNOT-AAMUAM-LC03-0004,DO-178C and DO-254 motor controller assurance,LC03,DO-178C + DO-254,APPROVED,ASIT,2026-03-19,Motor controller software and hardware must achieve DAL A or DAL B certification for flight-critical electric drive; FBW and autonomous flight modes,DO-178C; DO-254,,NOT_STARTED,Spillover to KNOT-Q100BWB-LC03-0004; A=0.50
KNOT-AAMUAM-LC03-0005,First-of-kind certification pathway SC-VTOL,LC03,EASA SC-VTOL,APPROVED,ASIT,2026-03-19,Certification under EASA SC-VTOL as first-of-kind type certificate; SC-VTOL precedent establishes basis for subsequent Q100 Special Conditions,SC-VTOL 2019,,NOT_STARTED,SC-VTOL TC application target 2026-12; feeds Q100 KNOT-Q100BWB-LC03-0005
KNOT-Q100BWB-LC01-0001,Net-zero 100-passenger transport concept,LC01,Internal Governance,APPROVED,ASIT,2026-03-19,Define operational concept for net-zero capable 100-passenger BWB transport aircraft using H2 FC primary power and distributed open-fan electric propulsion,,,NOT_STARTED,Product: AMPEL360_Q100_BWB
KNOT-Q100BWB-LC01-0002,Technology inheritance from AAM/UAM eVTOL programme,LC01,Internal Governance,APPROVED,ASIT,2026-03-19,Capture technology nodes shared with AAM/UAM eVTOL programme and define KNOT spillover model (coefficient A=0.50) for bidirectional knowledge transfer,,,NOT_STARTED,Product: AMPEL360_Q100_BWB
KNOT-Q100BWB-LC03-0001,Distributed electric open-fan propulsion ATA 61+71,LC03,ARP4754A + CS-25 SC,APPROVED,ASIT,2026-03-19,Distributed open-fan electric propulsion on DC bus with motor-out certification logic for BWB configuration; technology inherited from AAM/UAM eVTOL,ARP4754A § 5; CS-25 SC,,NOT_STARTED,Spillover from KNOT-AAMUAM-LC03-0001; A=0.50
KNOT-Q100BWB-LC03-0002,H2 FC primary power management and peak buffering ATA 24,LC03,ARP4754A + CS-25 SC,APPROVED,ASIT,2026-03-19,Hydrogen fuel cell primary power with battery buffer for transient peak loads; power management unit for fault-tolerant H2 FC + buffer integration,ARP4754A § 5; CS-25 SC ATA 24,,NOT_STARTED,Spillover from KNOT-AAMUAM-LC03-0002; A=0.50
KNOT-Q100BWB-LC03-0003,Buffer battery thermal management and DPP ATA 24+96,LC03,EU Battery Regulation 2023/1542 + CS-25 SC,APPROVED,ASIT,2026-03-19,Cryogenic-compatible buffer battery thermal management; SoH tracking; Digital Product Passport per EU Battery Regulation 2023/1542,EU Battery Reg 2023/1542; CS-25 SC ATA 96,,NOT_STARTED,Spillover from KNOT-AAMUAM-LC03-0003; A=0.50; key bidirectional node
KNOT-Q100BWB-LC03-0004,DO-178C and DO-254 motor controller assurance with AI monitoring,LC03,DO-178C + DO-254,APPROVED,ASIT,2026-03-19,Motor controller software DAL A/B per DO-178C and hardware DAL A/B per DO-254; AI-based health monitoring integration with FBW,DO-178C; DO-254,,NOT_STARTED,Spillover from KNOT-AAMUAM-LC03-0004; A=0.50
KNOT-Q100BWB-LC03-0005,CS-25 plus Special Conditions certification pathway,LC03,CS-25 + EASA Special Conditions,APPROVED,ASIT,2026-03-19,Certification under CS-25 + Special Conditions leveraging SC-VTOL type certificate precedent from AAM/UAM programme; target EASA type certificate 2031,CS-25; EASA SC 2030,,NOT_STARTED,Depends on SC-VTOL precedent from KNOT-AAMUAM-LC03-0005
